Cluster,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
11,7.403005,0.0,18.1,1.0,0.6433333333333334,6.524666666666666,94.63333333333333,1.2295666666666667,24.0,666.0,20.2,371.75333333333333,5.19,50.0
12,0.056522857142857146,2.6785714285714284,3.132857142857143,0.0,0.4615,6.933714285714286,54.56923076923077,4.6084499999999995,2.9285714285714284,240.5,17.85,391.82,5.636923076923077,33.207142857142856
13,2.07259125,0.0,19.58,0.0,0.605,6.04675,93.4,2.2582125,5.0,403.0,14.7,310.54,11.1125,22.3
14,1.6763949999999999,0.0,19.58,1.0,0.605,8.0885,98.2,2.10135,5.0,403.0,14.7,389.03,2.62,50.0
15,15.397450000000001,0.0,18.1,0.0,0.5997,6.0089,87.02000000000001,1.91905,24.0,666.0,20.2,66.147,16.380000000000003,16.84
16,0.6406745454545454,20.0,3.97,0.0,0.635,7.406166666666667,83.55833333333334,2.1390499999999997,5.0,264.0,13.0,388.79749999999996,8.146666666666667,38.025
17,0.12232749999999999,5.0,10.5075,1.0,0.498,5.9197500000000005,57.6,3.73035,4.0,263.25,18.05,389.1,14.4625,22.7
18,5.1462200000000005,0.0,18.1,1.0,0.7596,6.6634,88.74000000000001,2.2319,24.0,666.0,20.2,374.418,12.456,20.18
19,0.10491,23.375,5.54375,0.0,0.4395,6.321125,47.487500000000004,5.588475,4.625,273.0,19.0,391.91125,8.276250000000001,23.65
20,0.02536416666666667,88.95833333333333,2.329166666666667,0.0,0.41018333333333334,7.355083333333333,25.241666666666664,6.55365,3.4166666666666665,280.25,16.183333333333334,393.04583333333335,3.92,39.5
21,2.3858425,0.0,19.58,1.0,0.8045,5.983499999999999,96.2,1.6537250000000001,5.0,403.0,14.7,286.2125,15.615,18.25
22,9.650409285714286,0.0,18.1,0.0,0.6661333333333332,5.9076,94.96666666666667,2.0317066666666665,24.0,666.0,20.2,298.7213333333333,18.74285714285714,16.746666666666666
23,0.15175,0.0,27.74,0.0,0.609,5.5854,94.26,1.8753799999999998,4.0,711.0,20.1,368.916,20.625999999999998,12.8
24,0.14808166666666667,0.0,25.649999999999995,0.0,0.581,5.8855,86.17999999999999,2.049733333333333,2.0,188.0,19.1,378.09999999999997,17.703333333333333,19.783333333333335
25,0.075595,29.38888888888889,5.38375,0.0,0.4484333333333333,6.272,52.73333333333333,6.384477777777779,4.777777777777778,296.77777777777777,16.633333333333336,390.93888888888887,10.809999999999999,21.299999999999997
26,0.40092055555555556,0.0,9.596666666666666,0.0,0.5218888888888888,6.012444444444444,59.75333333333333,3.4352388888888887,4.888888888888889,303.94444444444446,18.288888888888888,389.655,11.215625,22.022222222222222
27,0.18044384615384615,0.0,9.895714285714286,0.0,0.5605714285714286,5.964357142857144,78.40714285714286,2.5722285714285715,6.0,417.35714285714283,18.3,387.3142857142857,14.349230769230768,19.335714285714285
28,1.57074,0.0,19.58,0.0,0.8710000000000001,5.751399999999999,96.625,1.64178,5.0,403.0,14.7,336.788,12.536,19.82
29,0.3702,0.0,8.434000000000001,0.0,0.5343636363636364,6.215181818181819,90.75454545454546,2.8902727272727273,4.636363636363637,367.8181818181818,20.954545454545453,390.9745454545455,13.857272727272727,20.327272727272728
30,0.09258,0.0,2.5675,0.0,0.47725,7.388,86.775,2.94595,2.75,213.75,17.85,395.87,5.5675,37.225
31,20.713482142857142,0.0,18.1,0.0,0.6843571428571428,5.037285714285715,95.45,1.4990642857142855,24.0,666.0,20.2,372.9478571428571,29.550714285714285,9.335714285714285
32,0.101114,32.0,5.904,1.0,0.44958,7.237399999999999,42.2,4.6612,4.0,240.2,17.26,389.488,4.7925,35.980000000000004
33,1.56571,0.0,19.58,0.0,0.605,7.453666666666667,94.8,1.9647,5.0,403.0,14.699999999999998,369.05333333333334,3.34,47.1
34,0.16441363636363637,1.8181818181818181,9.266666666666667,0.0,0.472,6.102083333333333,17.825,4.37445,4.583333333333333,294.8333333333333,18.883333333333333,384.8358333333333,10.849,24.633333333333336
35,0.24157,0.0,6.91,0.0,0.448,5.7145,90.4,5.7797,3.0,233.0,17.9,394.82,24.805,15.5
36,0.06939375,4.166666666666667,3.8175,0.0,0.446125,6.054125,41.5875,6.8963,3.0,376.375,18.1,385.24,10.398571428571428,18.9375
37,0.03703818181818182,65.41666666666667,3.296666666666667,0.0,0.4014166666666667,6.453500000000001,28.663636363636364,7.056208333333333,3.8333333333333335,317.0833333333333,15.633333333333335,387.37999999999994,6.6675,24.650000000000002
38,2.3270233333333334,0.0,19.58,0.0,0.871,5.676666666666667,98.0,1.5573666666666668,5.0,403.0,14.699999999999998,143.60333333333332,20.19666666666667,14.166666666666666
39,0.06637272727272728,1.6363636363636365,3.637272727272727,0.0,0.48763636363636365,6.208818181818182,73.87272727272727,3.406509090909091,2.727272727272727,259.0,17.436363636363637,393.7863636363636,9.943000000000001,23.55454545454546
40,0.17363800000000001,12.5,7.87,0.0,0.524,6.0386,91.84,6.23962,5.0,311.0,15.2,391.93199999999996,19.98,19.28
41,0.3218475,8.25,4.9262500000000005,0.0,0.4975,7.215,76.5375,3.340025,7.375,284.375,17.549999999999997,388.455,6.408571428571428,31.75
42,5.63645125,0.0,18.1,0.0,0.5907777777777778,6.083666666666667,54.43333333333333,3.3085555555555555,24.0,666.0,20.2,382.2522222222222,12.33,22.044444444444444
43,6.9532123529411765,0.0,18.1,0.0,0.7224444444444444,6.230388888888889,90.87058823529412,2.207022222222222,24.0,666.0,20.2,381.31055555555554,13.830625,19.094444444444445
44,0.097646,11.777777777777779,6.439166666666666,0.0,0.43990833333333335,6.375083333333333,14.983333333333334,6.029908333333334,4.333333333333333,288.8333333333333,16.875,384.9633333333333,6.719166666666666,24.816666666666666
45,0.04217,80.0,1.5200000000000002,0.0,0.4040000000000001,7.222666666666666,36.333333333333336,7.309,2.0,329.0,12.6,381.1366666666666,6.4366666666666665,32.733333333333334
46,78.4485,0.0,18.1,0.0,0.6819999999999999,6.3255,95.95,1.42095,24.0,666.0,20.2,390.935,20.095,7.7
47,10.854088749999999,0.0,18.1,0.0,0.7036875,6.4119375,87.93571428571428,2.16690625,24.0,666.0,20.2,43.870625,19.92875,11.88125
48,0.35651666666666665,0.0,9.129166666666668,0.0,0.5385,6.096666666666667,69.97999999999999,3.505266666666667,3.5833333333333335,316.0833333333333,20.858333333333334,392.55833333333334,10.522727272727273,19.591666666666665
49,0.964721111111111,0.0,8.14,0.0,0.5427777777777778,5.844888888888889,95.58888888888889,3.8990222222222224,3.7777777777777777,293.77777777777777,20.788888888888888,378.35555555555555,18.903333333333332,14.788888888888888
50,7.06526,0.0,18.1,0.0,0.631,5.593,100.0,1.2508,24.0,666.0,20.2,370.835,6.395,50.0
51,0.07934,35.57142857142857,6.6739999999999995,0.0,0.46127142857142855,6.726428571428571,37.614285714285714,4.290228571428572,5.142857142857143,258.2857142857143,17.52857142857143,394.57714285714286,5.957142857142857,30.985714285714288
52,0.29819,0.0,6.2,0.0,0.504,7.686,17.0,3.3751,8.0,307.0,17.4,377.51,,46.7
53,0.08383499999999999,0.0,12.83,0.0,0.437,6.180666666666666,51.12,4.4022499999999996,5.0,398.0,18.7,386.87166666666667,10.059999999999999,21.3
54,0.01501,90.0,1.21,1.0,0.401,7.923,24.8,5.885,1.0,198.0,13.6,395.52,3.16,50.0
55,0.3859525,0.0,6.2,1.0,0.5156000000000001,6.712000000000001,80.32000000000001,3.4594,7.4,300.8,17.2,384.896,9.546000000000001,26.26
56,1.005176,0.0,8.224,0.0,0.5344,6.0194,87.76,3.8745000000000003,4.2,322.4,20.98,232.302,18.494,14.8
57,0.16169571428571428,23.5,4.836666666666667,0.0,0.43785714285714283,5.931857142857143,75.55,7.974342857142857,7.0,310.85714285714283,19.771428571428572,383.41285714285715,11.571428571428571,19.157142857142855
58,0.3068033333333334,4.0,5.098333333333334,0.0,0.49215000000000003,8.204333333333333,70.53999999999999,3.5288333333333335,6.666666666666667,272.8333333333333,17.05,385.30833333333334,3.9,46.699999999999996
59,0.2088005263157895,0.0,6.158947368421053,0.0,0.5026842105263158,6.091421052631579,43.57368421052632,4.998710526315789,4.684210526315789,257.94736842105266,19.86315789473684,389.72052631578947,8.667894736842106,21.5
